Año;Fecha;Toneladas de gasolina consumida;Toneladas de diésel consumido;Media gasolina euro/litro;Media diesel euro/litro
2002;ene-02;600851;2463007;0.76;0.67
2002;feb-02;591131;2387625;0.77;0.67
2002;mar-02;689429;2384097;0.8;0.69
2002;abr-02;668751;2398188;0.84;0.71
2002;may-02;687408;2292810;0.84;0.71
2002;jun-02;668770;2169991;0.82;0.68
2002;jul-02;780527;2514243;0.82;0.68
2002;ago-02;795662;2240492;0.82;0.68
2002;sep-02;663042;2285785;0.83;0.69
2002;oct-02;698031;2610216;0.84;0.71
2002;nov-02;635737;2513909;0.82;0.7
2002;dic-02;674829;2492428;0.8;0.68
2003;ene-03;612594;2703400;0.82;0.71
2003;feb-03;575149;2648439;0.84;0.72
2003;mar-03;646088;2566590;0.86;0.76
2003;abr-03;693011;2464419;0.84;0.74
2003;may-03;688967;2480065;0.8;0.69
2003;jun-03;677123;2424813;0.79;0.66
2003;jul-03;766984;2708265;0.8;0.66
2003;ago-03;766618;2331671;0.82;0.67
2003;sep-03;670092;2485874;0.84;0.68
2003;oct-03;674489;2763558;0.8;0.67
2003;nov-03;594250;2558758;0.8;0.69
2003;dic-03;683335;2886039;0.8;0.68
2004;ene-04;603464;2774880;0.8;0.69
2004;feb-04;569318;2738851;0.81;0.69
2004;mar-04;641383;2958160;0.82;0.69
2004;abr-04;662185;2701242;0.85;0.72
2004;may-04;627488;2542142;0.87;0.74
2004;jun-04;667013;2674205;0.9;0.76
2004;jul-04;738921;2818834;0.88;0.74
2004;ago-04;710695;2460296;0.9;0.76
2004;sep-04;638428;2640921;0.91;0.78
2004;oct-04;627183;2734864;0.9;0.8
2004;nov-04;592772;2919179;0.93;0.84
2004;dic-04;641910;3055211;0.91;0.83
2005;ene-05;550740;2914172;0.88;0.81
2005;feb-05;528613;2926546;0.84;0.81
2005;mar-05;628384;3080530;0.87;0.82
2005;abr-05;600861;2785499;0.9;0.86
2005;may-05;619228;2725155;0.92;0.88
2005;jun-05;631673;2719704;0.94;0.87
2005;jul-05;683862;2858505;0.94;0.88
2005;ago-05;689312;2737111;0.99;0.93
2005;sep-05;600603;2706788;1.01;0.93
2005;oct-05;590508;2709414;1.07;0.97
2005;nov-05;549730;2983903;1.06;0.97
2005;dic-05;595523;3147235;1.02;0.96
2006;ene-06;532616;3007988;0.97;0.92
2006;feb-06;507219;2976721;0.99;0.93
2006;mar-06;584417;3219462;1.0;0.94
2006;abr-06;583372;2633679;1.0;0.95
2006;may-06;597975;2882060;1.05;0.97
2006;jun-06;596298;2948524;1.1;1.0
2006;jul-06;632328;2882218;1.09;0.99
2006;ago-06;643231;2767973;1.11;0.99
2006;sep-06;583326;2861103;1.14;1.0
2006;oct-06;574522;2977364;1.07;0.99
2006;nov-06;533132;3006508;0.99;0.94
2006;dic-06;571540;3103466;0.96;0.92
2007;ene-07;522298;3212268;0.96;0.91
2007;feb-07;485656;2957705;0.96;0.9
2007;mar-07;577570;3357536;0.95;0.89
2007;abr-07;550795;2877859;0.98;0.91
2007;may-07;565999;2968428;1.02;0.93
2007;jun-07;580193;2989916;1.07;0.95
2007;jul-07;618940;3106899;1.09;0.96
2007;ago-07;633265;2947252;1.1;0.97
2007;sep-07;537296;2762490;1.08;0.98
2007;oct-07;574019;3266953;1.06;0.97
2007;nov-07;518333;3233126;1.07;1.0
2007;dic-07;532806;3150832;1.07;1.0
2008;ene-08;493849;3226239;1.09;1.05
2008;feb-08;488255;3135734;1.1;1.07
2008;mar-08;525620;2985380;1.1;1.06
2008;abr-08;520710;3023332;1.12;1.09
2008;may-08;528907;2830834;1.12;1.14
2008;jun-08;520829;2686605;1.15;1.18
2008;jul-08;589973;3043624;1.21;1.28
2008;ago-08;577171;2652445;1.25;1.3
2008;sep-08;520153;2699255;1.26;1.32
2008;oct-08;528471;2987760;1.2;1.22
2008;nov-08;476811;2923086;1.18;1.18
2008;dic-08;525079;3183344;1.11;1.13
2009;ene-09;462174;2980514;0.98;1.02
2009;feb-09;445294;2801010;0.89;0.93
2009;mar-09;495826;2905440;0.87;0.87
2009;abr-09;511119;2770146;0.91;0.86
2009;may-09;497271;2604109;0.91;0.84
2009;jun-09;522017;2709177;0.95;0.86
2009;jul-09;581255;2902925;0.98;0.87
2009;ago-09;552136;2487599;1.05;0.92
2009;sep-09;498488;2655256;1.06;0.93
2009;oct-09;507483;2830009;1.08;0.95
2009;nov-09;449782;2691445;1.07;0.96
2009;dic-09;489996;3007661;1.04;0.94
2010;ene-10;416405;2668944;1.07;0.97
2010;feb-10;414801;2798986;1.07;0.97
2010;mar-10;495167;3116187;1.08;0.98
2010;abr-10;469131;2651318;1.1;1.0
2010;may-10;471306;2652309;1.12;1.01
2010;jun-10;490111;2732898;1.17;1.06
2010;jul-10;541731;2802796;1.18;1.09
2010;ago-10;524559;2545341;1.16;1.08
2010;sep-10;483870;2586622;1.17;1.09
2010;oct-10;466887;2805910;1.17;1.08
2010;nov-10;435610;2882909;1.16;1.09
2010;dic-10;467040;2973874;1.17;1.09
2011;ene-11;403775;2672772;1.17;1.1
2011;feb-11;399236;2720424;1.19;1.12
2011;mar-11;433017;2803774;1.24;1.17
2011;abr-11;450087;2487064;1.27;1.2
2011;may-11;428518;2463635;1.28;1.25
2011;jun-11;456981;2540256;1.32;1.29
2011;jul-11;493766;2580980;1.36;1.3
2011;ago-11;507609;2482335;1.35;1.24
2011;sep-11;451220;2465049;1.32;1.25
2011;oct-11;439096;2554463;1.34;1.27
2011;nov-11;400553;2590474;1.33;1.26
2011;dic-11;435597;2748864;1.35;1.28
2012;ene-12;385901;2579802;1.32;1.28
2012;feb-12;377029;2676517;1.31;1.31
2012;mar-12;420827;2535024;1.29;1.3
2012;abr-12;392186;2300503;1.37;1.34
2012;may-12;410878;2361921;1.4;1.36
2012;jun-12;444024;2410122;1.46;1.38
2012;jul-12;452523;2400919;1.48;1.38
2012;ago-12;477880;2436245;1.42;1.35
2012;sep-12;388007;2105117;1.37;1.3
2012;oct-12;404196;2459247;1.4;1.33
2012;nov-12;369190;2409069;1.46;1.39
2012;dic-12;400227;2488325;1.51;1.43
2013;ene-13;348326;2400450;1.48;1.42
2013;feb-13;331414;2291898;1.39;1.38
2013;mar-13;377228;2361260;1.38;1.35
2013;abr-13;388418;2356985;1.4;1.36
2013;may-13;391650;2299442;1.46;1.39
2013;jun-13;383759;2147340;1.47;1.39
2013;jul-13;453329;2460099;1.44;1.35
2013;ago-13;451327;2293828;1.4;1.32
2013;sep-13;382396;2173150;1.43;1.34
2013;oct-13;402009;2505582;1.43;1.34
2013;nov-13;362537;2441671;1.46;1.37
2013;dic-13;383480;2497625;1.46;1.38
2014;ene-14;349037;2400170;1.42;1.38
2014;feb-14;329217;2269710;1.4;1.35
2014;mar-14;373830;2443892;1.4;1.35
2014;abr-14;385697;2296677;1.4;1.35
2014;may-14;390034;2278982;1.39;1.34
2014;jun-14;385977;2226763;1.4;1.34
2014;jul-14;438318;2454935;1.4;1.32
2014;ago-14;429923;2188759;1.42;1.32
2014;sep-14;395557;2306437;1.42;1.33
2014;oct-14;398417;2534770;1.45;1.34
2014;nov-14;345308;2335176;1.43;1.32
2014;dic-14;393700;2641330;1.41;1.32
2015;ene-15;353865;2614845;1.41;1.32
2015;feb-15;325002;2461504;1.37;1.28
2015;mar-15;373453;2567979;1.33;1.26
2015;abr-15;384389;2366051;1.23;1.17
2015;may-15;383653;2315818;1.13;1.07
2015;jun-15;402314;2428655;1.21;1.14
2015;jul-15;457022;2606659;1.27;1.17
2015;ago-15;431890;2378427;1.3;1.18
2015;sep-15;389479;2388834;1.32;1.2
2015;oct-15;395915;2560938;1.33;1.18
2015;nov-15;355657;2429395;1.32;1.16
2015;dic-15;398280;2666195;1.26;1.11
2016;ene-16;342003;2406461;1.18;1.07
2016;feb-16;353243;2511480;1.17;1.07
2016;mar-16;390128;2668849;1.16;1.06
2016;abr-16;382941;2520451;1.16;1.04
2016;may-16;392727;2428866;1.12;0.94
2016;jun-16;417933;2549294;1.09;0.92
2016;jul-16;455045;2533322;1.09;0.96
2016;ago-16;459871;2501092;1.14;0.97
2016;sep-16;411622;2470695;1.16;1.0
2016;oct-16;392318;2474077;1.19;1.05
2016;nov-16;367818;2605500;1.18;1.05
2016;dic-16;392875;2657137;1.14;1.02
2017;ene-17;348938;2576482;1.15;1.02
2017;feb-17;338921;2411743;1.16;1.03
2017;mar-17;399524;2734071;1.19;1.07
2017;abr-17;397150;2384341;1.17;1.05
2017;may-17;408095;2550019;1.21;1.1
2017;jun-17;438459;2626116;1.24;1.13
2017;jul-17;455136;2594740;1.25;1.13
2017;ago-17;466978;2503930;1.23;1.12
2017;sep-17;416028;2488748;1.24;1.12
2017;oct-17;413037;2579576;1.22;1.09
2017;nov-17;377647;2676676;1.2;1.07
2017;dic-17;398699;2704758;1.17;1.04
2018;ene-18;368481;2626774;1.18;1.06
2018;feb-18;352259;2597803;1.2;1.07
2018;mar-18;410497;2765979;1.21;1.1
2018;abr-18;401390;2577854;1.21;1.11
2018;may-18;429404;2605370;1.24;1.14
2018;jun-18;441470;2565018;1.24;1.14
2018;jul-18;481598;2656384;1.25;1.16
2018;ago-18;502760;2574973;1.23;1.14
2018;sep-18;429617;2426917;1.23;1.14
2018;oct-18;442443;2747480;1.28;1.17
2018;nov-18;403176;2657458;1.32;1.23
2018;dic-18;429255;2729303;1.33;1.23
2019;ene-19;391479;2785452;1.33;1.22
2019;feb-19;377121;2505321;1.33;1.23
2019;mar-19;421773;2616759;1.34;1.25
2019;abr-19;441885;2600583;1.34;1.27
2019;may-19;456470;2641583;1.32;1.26
2019;jun-19;455239;2488601;1.23;1.19
2019;jul-19;525475;2737642;1.2;1.16
2019;ago-19;526384;2502827;1.24;1.2
2019;sep-19;446302;2441542;1.27;1.23
2019;oct-19;471752;2795067;1.32;1.24
2019;nov-19;420913;2724287;1.36;1.26
2019;dic-19;450658;2726852;1.32;1.21
2020;ene-20;416674;2797966;1.32;1.21
2020;feb-20;414149;2678364;1.32;1.21
2020;mar-20;276365;2400049;1.3;1.2
2020;abr-20;97462;1660795;1.32;1.22
2020;may-20;195653;1919196;1.3;1.21
2020;jun-20;351952;2237549;1.3;1.21
2020;jul-20;490371;2557623;1.32;1.24
2020;ago-20;473915;2279783;1.31;1.22
2020;sep-20;423354;2404614;1.27;1.17
2020;oct-20;406980;2572796;1.14;0.99
2020;nov-20;321950;2360689;1.08;1.01
2020;dic-20;384429;2673655;1.1;1.04
2021;ene-21;293151;2327879;1.15;1.06
2021;feb-21;299499;2294776;1.16;1.06
2021;mar-21;407308;2781261;1.17;1.03
2021;abr-21;377447;2434637;1.16;1.03
2021;may-21;432846;2514676;1.15;1.03
2021;jun-21;483485;2617074;1.16;1.07
2021;jul-21;540210;2687247;1.18;1.11
2021;ago-21;540635;2518211;1.23;1.15
2021;sep-21;489451;2629702;1.27;1.18
2021;oct-21;483576;2738693;1.32;1.18
2021;nov-21;448355;2863154;1.33;1.21
2021;dic-21;451827;2814809;1.35;1.24
2022;ene-22;394859;2585666;1.37;1.26
2022;feb-22;416512;2660068;1.4;1.27
2022;mar-22;433822;2563063;1.42;1.28
